Indicator,Type,Description,Reference
mail.nteng.xyz,DOMAIN,,http://401trg.pw/burning-umbrella/
mail.violet.la,DOMAIN,,http://401trg.pw/burning-umbrella/
mail.whoami.la,DOMAIN,,http://401trg.pw/burning-umbrella/
multicons.net,DOMAIN,,http://401trg.pw/burning-umbrella/
my.pal.violet.la,DOMAIN,,http://401trg.pw/burning-umbrella/
naoteng.top,DOMAIN,,http://401trg.pw/burning-umbrella/
naotengml.xyz,DOMAIN,,http://401trg.pw/burning-umbrella/
newbie.red,DOMAIN,,http://401trg.pw/burning-umbrella/
no.ip.detect.if.using.ipv6.la,DOMAIN,,http://401trg.pw/burning-umbrella/
nobody.will.know.whoami.la,DOMAIN,,http://401trg.pw/burning-umbrella/
nteng.xyz,DOMAIN,,http://401trg.pw/burning-umbrella/
on-line.connection.violet.la,DOMAIN,,http://401trg.pw/burning-umbrella/
packet.ipv6.la,DOMAIN,,http://401trg.pw/burning-umbrella/
people.do.not.need.to.be.fixed.they.need.to.be.l,DOMAIN,,http://401trg.pw/burning-umbrella/
oved.tokyo,DOMAIN,,http://401trg.pw/burning-umbrella/
percuma.berteman.sama.newbie.red,DOMAIN,,http://401trg.pw/burning-umbrella/
psycho.red,DOMAIN,,http://401trg.pw/burning-umbrella/
pure.newbie.red,DOMAIN,,http://401trg.pw/burning-umbrella/
pv6.red,DOMAIN,,http://401trg.pw/burning-umbrella/
rosemarry.asia,DOMAIN,,http://401trg.pw/burning-umbrella/
secret.whoami.la,DOMAIN,,http://401trg.pw/burning-umbrella/
sekarang.waktunya.pake.ipv6.red,DOMAIN,,http://401trg.pw/burning-umbrella/
silent.whoami.la,DOMAIN,,http://401trg.pw/burning-umbrella/
sky.violet.la,DOMAIN,,http://401trg.pw/burning-umbrella/
teng123.top,DOMAIN,,http://401trg.pw/burning-umbrella/
ti.vengo.sul.perizoma.ipv6.la,DOMAIN,,http://401trg.pw/burning-umbrella/
top106.top,DOMAIN,,http://401trg.pw/burning-umbrella/
uhh.yeah.whoami.la,DOMAIN,,http://401trg.pw/burning-umbrella/
ultra.violet.la,DOMAIN,,http://401trg.pw/burning-umbrella/
using.ipv6.la,DOMAIN,,http://401trg.pw/burning-umbrella/
violet.la,DOMAIN,,http://401trg.pw/burning-umbrella/
whoami.la,DOMAIN,,http://401trg.pw/burning-umbrella/
xops.violet.la,DOMAIN,,http://401trg.pw/burning-umbrella/
18277225531@163.com,EMAIL,,http://401trg.pw/burning-umbrella/
253125567@qq.com,EMAIL,,http://401trg.pw/burning-umbrella/
ykcrewz@yahoo.com,EMAIL,,http://401trg.pw/burning-umbrella/
119.29.157.220,IP,,http://401trg.pw/burning-umbrella/
207.126.114.133,IP,,http://401trg.pw/burning-umbrella/
207.126.114.136,IP,,http://401trg.pw/burning-umbrella/
207.126.114.158,IP,,http://401trg.pw/burning-umbrella/
207.126.114.161,IP,,http://401trg.pw/burning-umbrella/
207.126.114.163,IP,,http://401trg.pw/burning-umbrella/
208.185.83.234,IP,,http://401trg.pw/burning-umbrella/
208.185.83.241,IP,,http://401trg.pw/burning-umbrella/
208.185.83.248,IP,,http://401trg.pw/burning-umbrella/
208.185.92.31,IP,,http://401trg.pw/burning-umbrella/
208.185.92.62,IP,,http://401trg.pw/burning-umbrella/
42.51.17.180,IP,,http://401trg.pw/burning-umbrella/
64.125.185.106,IP,,http://401trg.pw/burning-umbrella/
